Death by suicide:
Death by suicide:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Court Ordered Discharge:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Awaiting new punishment hearing:
Sentence reduced to life:
Sentence reduced to 20 years:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died (drowned) while on escape from the TDCJ:
Sentence reduced to life:
Conviction reduced to a murder charge:
Serving federal death sentence at different facility:
Died natural causes:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Died natural causes:
Sentence reduced to life:
Serving federal death sentence at different facility:
Conviction overturned:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Conviction overturned:
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Died natural causes:
Sentence commuted to life (offender was 17 at time of offense):
Conviction overturned:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Serving federal death sentence at different facility:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Serving federal death sentence at different facility:
Death by suicide:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Died natural causes:
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
The CCA issued a mandate granting relief Case was reversed and remanded back to the trial court Offender remains in Tarrant County custody pending re-trial or disposition of this case:
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Sentence commuted to life (offender was 17 at time of offense):
Died natural causes:
Sentence reduced to life:
Died in custody:
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Sentence commuted to life (offender was 17 at time of offense):
Death by suicide:
Conviction overturned:
Died natural causes:
Sentence commuted to life (offender was 17 at time of offense):
Death by suicide:
Death by suicide:
Sentence commuted to life (offender was 17 at time of offense):
Sentence reduced to life:
Died in custody:
Sentence reduced to life:
Sentence reduced to life:
Awaiting new punishment hearing:
Sentence commuted to life (offender was 17 at time of offense):
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Awaiting new punishment hearing:
Conviction overturned:
Death by suicide:
Sentence reduced to life:
Died in custody:
Sentence reduced to life:
Death by suicide:
Awaiting new punishment hearing:
Sentence reduced to life:
Awaiting new punishment hearing:
